titre,type_bien,type_annonce,prix,surface_m2,nb_chambres,nb_salons,nb_sdb,quartier,ville,description,caracteristiques,seller,date_publication,url_annonce,source
دار في الحي الإداري,Immobilier résidentiel,Vente,370000.0,108.0,2.0,1.0,1.0,مدرسة النائب,Toujounine,دار كانت مقطية بالسنگ مقطاه لاه يحول بتوه فيه صلوه و بيتين ودوش ومگزين وجلسة ودوش وكوزين وفيه الماء والظو,,محمد عبد الله,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/دار--5c06,voursa
دار فبوحديده تنباع,Immobilier résidentiel,Vente,900000.0,1.0,0.0,0.0,0.0,بوحديده,Toujounine,"دار فبوحديده تنباع
السعر 9 ملايين
واتساب [TÉLÉPHONE SUPPRIMÉ]
للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/دار-فبوحديده-تنباع-8cc7,voursa
شانتيه,Immobilier résidentiel,Vente,1200000.0,200.0,1.0,1.0,1.0,مفوضية شرم شيخ,Arafat,"السلام عليكم 
الموقع استراتيجي واستثماري 
نيمرو للبيـــــــــــــــــــــع كد مفوضية شرم الشيخ 
فاتح على كدروه وفكرن 
فيه ابوتيك 
صالون دوش كوزين لاحكين صناج فينال 
ثاني ماركه فندصيوه 
السعر 12 مليون",,Bcren brahm,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/شانتيه--338e,voursa
نيمرو فالمطار فاتح اعل لابست موقع استثماري,Terrain,Vente,11500000.0,700.0,,,,لابست,Dar Naim,نيمرو فالمطار فاتح اعل لابست موقع استثماري المساحة 700م٢ تيتر فونصي ب 115 مليون,,سيدي محمد,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فالمطار-فاتح-اعل-لابست-موقع-استثماري--794b,voursa
دار فوكها استوديو تنباع,Immobilier résidentiel,Vente,1600000.0,1.0,0.0,0.0,0.0,ملح,Arafat,"عندن ذيك الدار للبيع اكبيره و بنيانها زين
بين ملح و بوحديده 
فاتحه اعل البارك 
السعر: 16 مليون 
واتساب: [TÉLÉPHONE SUPPRIMÉ] للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/دار-فوكها-استوديو-تنباع--eb8b,voursa
نيمرو للبيع,Terrain,Vente,650000.0,1.0,,,,الدايه 19,Arafat,"للبيع نيمرو
📍 عرفات 19 فاتح اعل شارع 10 حاظر فالبرك
السعر: 6 مليون و 500 ألف
واتساب [TÉLÉPHONE SUPPRIMÉ]
للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/نيمرو-للبيع--6715,voursa
منزل للبيع,Immobilier résidentiel,Vente,1250000.0,1.0,0.0,1.0,0.0,سوق مكه,Arafat,"دار تنباع 
في كارفور مدريد افزر سوق مكه
السعر 12 مليون و 500 ألف
واتساب [TÉLÉPHONE SUPPRIMÉ]
للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/منزل-للبيع-dfdf,voursa
سمعه طابقين و امعاهم استوديو للبيع,Immobilier résidentiel,Vente,1150000.0,1.0,0.0,0.0,0.0,توجنين,Toujounine,"سمعه في توجنين طابقين و امعاهم استوديو عند اظهرها البارك و شارعها 10م 
السعر 11 مليون و 500 ألف 
واتساب [TÉLÉPHONE SUPPRIMÉ]
للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/سمعه-طابقين-و-امعاهم-استوديو-للبيع-d1c7,voursa
نص نمرو فMاسويت,Terrain,Vente,2300000.0,300.0,,,,ام اسويت,Tevragh Zeina,"سعر 23مليون حد شاري ول عندو طلب تلفنل اعل واتساب وتوف [TÉLÉPHONE SUPPRIMÉ]
رقم نمرو 362 مبيوع 300 لفكرن .",,الخدمات العامه,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/نص-نمرو-فmاسويت-d8df,voursa
دار فكارفور اعل شارع البوليس,Immobilier résidentiel,Vente,1300000.0,1.0,0.0,0.0,0.0,شارع البوليس,Arafat,"دار في كارفور مدريد شارع البوليس 
السعر 13 مليون
واتساب [TÉLÉPHONE SUPPRIMÉ]
للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/دار-فكارفور-اعل-شارع-البوليس--88b0,voursa
شانتيه للبيـــع فالمطار بلوك 31,Immobilier résidentiel,Vente,2100000.0,180.0,4.0,1.0,2.0,بلوك 31,Dar Naim,"شانتيه للبيـــــع فالمطار بلوك 31 
المساحة 180م٢
تتكون من ثلاث غرف وصالون ومجلس 
مزال خاصه كرو والنقش والتكفال
الثمن 21 مليون",,سيدي محمد,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/شانتيه-للبيـــع-فالمطار-بلوك-31--32e4,voursa
قطعة ارضيه للبيع,Terrain,Vente,5000000.0,811.0,,,,مقابل hunday بعد شركة ATTM مخزن,Tevragh Zeina,"قطعة أرضية 811 م2 في حي H.Suite مقابل مخزن ATTM على طريق انواذيبو
Hunday بعد شركة
Titre Foncier -سند عقاري
فاتح في مساحة عمومية",,Sidi Mohamed,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/قطعة-ارضيه-للبيع--0caf,voursa
شانتيه للبيـــــــــــــــــــــع المطار القديم,Immobilier résidentiel,Vente,2100000.0,180.0,4.0,1.0,2.0,بلو31,Dar Naim,"شانتيه للبيـــــع فالمطار بلوك 31 
المساحة 180م٢
تتكون من ثلاث غرف وصالون ومجلس 
مزال خاصه كرو والنقش والتكفال
الثمن 21 مليون",,Bcren brahm,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/شانتيه-للبيـــــــــــــــــــــع-المطار-القديم--52eb,voursa
دار فالفلوجة,Immobilier résidentiel,Vente,1300000.0,150.0,3.0,1.0,2.0,صيدلية إيمان,Arafat,دار فالفلوجة احذ صيدلية إيمان منقوشة و مكروية بينه مع كدروه دار وحده,Garage,محمد عبد الله ولد سيكه,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/دار-فالفلوجة-fdec,voursa
نيمرو للبيع افتفرغ زينة سكتير 3 افنور مساحة 600م²,Terrain,Vente,4000000.0,600.0,,,,كدروه صكوك _ مطعم الخال,Tevragh Zeina,"نيمرو اكبير للبيع افتفرغ زينة
سكتير 3 .
فاركين اعليه 3 كدروهات. 
اكريب من كدروه الصكوك كد مطعم الخال . واكريب من كدروه الشارة واكريب من كدروه سكتير 4.

مساحة : 600م².
شارعو 12م
ب 40 مليون قديمة 

[TÉLÉPHONE SUPPRIMÉ]",,الشيخ,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/نيمرو-للبيع-افتفرغ-زينة-سكتير-3-افنور-مساحة-600م-4554,voursa
أستيديو للإيجار في الصكوك بالقرب من مطعم الخال ألا ب 80 ألف أفانص 3 اشهر,Immobilier résidentiel,Location,8000.0,100.0,1.0,1.0,1.0,مطعم الخال,Teyarett,"أستيديو للإيجار في الصكوك بالقرب من مطعم الخال ألا ب 80 ألف أفانص 3 اشهر
فيه بيت وفراند ومكزينه وبالكون وكوزين مفتوح ودوش 
للإتصال أو الواتساب 
[TÉLÉPHONE SUPPRIMÉ]",,محمد فاضل,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/استيديو-للايجار-في-الصكوك-بالقرب-من-مطعم-الخال-الا-ب-80-الف-افانص-3-اشهر-67ca,voursa
دار وابرتماهين فعين الطلح,Immobilier résidentiel,Vente,4500000.0,150.0,7.0,2.0,3.0,سمعة الكوري,Teyarett,دار وابرتماهين فعين الطلح احذ سمعة الكوري اعل شارع اكبير امدخلين 300الف شهريا,Garage,محمد عبد الله ولد سيكه,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/دار-وابرتماهين-فعين-الطلح--303a,voursa
نمرو فاتح فبرك اعل طريك انواذيب,Terrain,Vente,7200000.0,968.0,,,,سوبر مركت,Tevragh Zeina,"نمرو فيه ابرتمهات وفاتح فبرك وبين كرفور القدس وكرفور أمير سعر 72مليون 
حد شاري ول عندو طلب تلفنل اعل واتساب وتوف [TÉLÉPHONE SUPPRIMÉ]",,الخدمات العامه,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/نمرو-فاتح-فبرك-اعل-طريك-انواذيب--ba9a,voursa
300م# فكرن من كتاب الضبط للبيع,Terrain,Vente,2050000.0,300.0,,,,كتاب الضبط,Tevragh Zeina,السلام عليكم هذ نص فكرن من كتاب الضبط مساحة 300م# مبيوع ب 20مليون واخمس مائة للإستفسار اكثر اتصلوا على الرقم التالي [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/300م-فكرن-من-كتاب-الضبط-للبيع-5e82,voursa
دار للبيع بينه مع كدروه بوتيك جمبو  دار وحده و مكريه ب 20 الف قديمة  كل شهر دخله,Immobilier résidentiel,Vente,300000.0,150.0,3.0,2.0,2.0,كدروه بوتيك جمبو,Dar Naim,دار للبيع بينه مع ( كدروه بوتيك جمبو )  دار وحده و مكريه ب 20 الف قديمة  كل شهر دخله,Garage,محمد سالم,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/دار-للبيع-بينه-مع-كدروه-بوتيك-جمبو-دار-وحده-و-مكريه-ب-20-الف-قديمة-كل-شهر-دخله-1d9c,voursa
دار فوكها استديو للبيع في المشروع اكريب من كدروه عين الطلح الرسمي,Immobilier résidentiel,Vente,2100000.0,219.0,4.0,1.0,4.0,كدروه عين الطلح الرسمي,Teyarett,"دار فوكها استديو للبيع في المشروع 
اكريب من كدروه عين الطلح الرسمي. 
الدار فيها 3 ابيوت ؤجلسة ؤمرافق وكراج. 
الاستديو فيه بيتين ؤفراندا ؤمرافق.

شارعها 6 ؤ ميت فيه T
المساحة : 216م² ( 18 ف 12 )
الأوراق: ابرمة ؤكتانص الأصلية 

اب: 21 مليون قديمة. 

[TÉLÉPHONE SUPPRIMÉ]",Garage,الشيخ,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/دار-فوكها-استديو-للبيع-في-المشروع-اكريب-من-كدروه-عين-الطلح-الرسمي--67e0,voursa
نيمرو للبيع افعين الطلح شارعو 20 واكريب من كدروه أوراق جيدين جدا,Terrain,Vente,1500000.0,180.0,,,,كدروه الطينطان,Teyarett,"نيمرو للبيع افعين الطلح محوش ؤفيه بوتيك من بتوه.
صاد اعل جيهة لبحر واكريب من كدروه الطينطان .
احذاه المدارس العمومية و الخصوصيةؤجميع الأسواق.
منطقة مافيها الملح.

شارعو 20م
مساحة : 180م² ( 15 ف 12 )
أوراق : ابرمة ؤ كتانص الأصليين مع lordre de paiment والمخطط المعتمد.
ب 15 مليون",,الشيخ,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/نيمرو-للبيع-افعين-الطلح-شارعو-20-واكريب-من-كدروه-اوراق-جيدين-جدا-fed0,voursa
دار فوكها آبارتماهين للبيع افعين الطلح بينانهم اجديد,Immobilier commercial et industriel,Vente,4000000.0,150.0,,,,كدروه الطينطان,Teyarett,"دار فوكها آبارتماهين للبيع افعين الطلح 
فاتحين اعل ابارك وافكرن.
منطقة بيظة مافيها الملح. 
بنايهم اجديد .

المساحة 150م²
الأوراق : ابرمة ابيومتريك ؤكتانص
الدخل : 300.000 / شهر قابلة للزيادة
ب 40 مليون قديمة 

[TÉLÉPHONE SUPPRIMÉ]",,الشيخ,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/دار-فوكها-ابارتماهين-للبيع-افعين-الطلح-بينانهم-اجديد-b696,voursa
فرصة نيمرو 400م ب25مليون تفرغ زينة قرب مسجد شيخ الرضي في صانتر متير,Immobilier résidentiel,Vente,250000.0,400.0,0.0,0.0,0.0,مسجد شيخ الرضي,Tevragh Zeina,فرصة نيمرو 400م ب25مليون تفرغ زينة قرب مسجد شيخ الرضي في صانتر متير فاتح منو 5م عل بارك في موقع ممتاز لسكن او الإستثمار,,Ahmed,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/فرصة-نيمرو-400م-ب25مليون-تفرغ-زينة-قرب-مسجد-شيخ-الرضي-في-صانتر-متير-a77a,voursa
فرصة نيمر ف سانتر متير للبيع هين  فرصة,Terrain,Vente,2500000.0,400.0,,,,مسجد الشيخ رض,Tevragh Zeina,فرصة نيمر للبيع ف سانتر متير موقع جيد هين حتتت فرصة,,mohamed,2026-01-28,https://voursa.com/FR/categories/real_estate/ads/فرصة-نيمر-ف-سانتر-متير-للبيع-هين-فرصة--a5f7,voursa
400م من h اسويت للبيع,Terrain,Vente,2400000.0,400.0,,,,H اسويت,Tevragh Zeina,السلام عليكم هذ 400م# من h اسويت مبيوع ب 24مليون للإستفسار اكثر اتصلوا على الرقم التالي [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-01-27,https://voursa.com/FR/categories/real_estate/ads/400م-من-h-اسويت-للبيع--1a69,voursa
ابرتماه في k5 تيارت للأجار احذ بقالة الشباب,Immobilier résidentiel,Location,9500.0,110.0,1.0,1.0,1.0,بقالة الشباب,Teyarett,"السلام عليكم ورحمة الله وبركاته، 
عندنا ابرتماه الفوق في ابريمير في منطقة  k5 احذ بقالة الشباب. اشبه منطقة فؤ ابريمير راكب الفوق وترابه بيدة. 
ابرتماه  فيه يب اركاد وصالون وجلسة وحمام  ومطبخ نظيف.  السعر 9500 اوقية جديدة.  نرجوا منكم الاتصال علي الواتس اب علي الرقم التاني: 00491797921370",,سيدي محمد,2026-01-06,https://voursa.com/FR/categories/real_estate/ads/ابرتماه-في-k5-تيارت-للاجار-احذ-بقالة-الشباب--dc34,voursa
فيلا فخمه للبيع,Immobilier résidentiel,Vente,35000000.0,1200.0,5.0,5.0,4.0,عيادة كيسي,Tevragh Zeina,"فرصة قوية 🔥
🏡 فيلا كبيرة فخمة للإيجار والبيع
📍 موقع ممتاز داخل المدينة
✨ مساحة واسعة وتشطيب راقي
🛏️ غرف متعددة + صالونات كبيرة
🌿 حوش واسع وتهوية ممتازة
مناسبة للعائلات الكبيرة أو الشركات
📌 المعاينة متاحة اليوم

‎48 04 83 95",Garage,سارة,2026-01-27,https://voursa.com/FR/categories/real_estate/ads/فيلا-فخمه-للبيع-والايجار-03ec,voursa
فرصة نيمرو للبيع شارعو 20 افعين الطلح,Terrain,Vente,1450000.0,180.0,,,,كدروه الطينطان,Teyarett,"فرصة نيمرو شارع 20 للبيع افعين الطلح 
اكريب من كدروه الطينطان والمدارس العمومية والخصوصية وجميع الخدمات.
صاد اعل جيهة لبحر 
منطقة مافيها الملح
أوراق مكتملين 100%",,الشيخ,2026-01-27,https://voursa.com/FR/categories/real_estate/ads/فرصة-نيمرو-للبيع-شارعو-20-افعين-الطلح--c06b,voursa
فيلا لايجار تتكون من 5 غرف و مرافق,Immobilier résidentiel,Location,15500.0,200.0,5.0,2.0,2.0,كدروه كورونا,Teyarett,فيلا لايجار تتكون من 5 غرف و مرافق و بالكونا في الطابق 2 ..الما مجاني..تؤجر بي 155000 او قية مقدم 3 اشهر ...احذ كدروه كورونا,Caméra de sécurité,مولاي الحسن,2026-01-27,https://voursa.com/FR/categories/real_estate/ads/فيلا-لايجار-تتكون-من-5-غرف-و-مرافق-710f,voursa
نمرو فلكصر من فوك c5,Terrain,Vente,800000.0,180.0,,,,لكصر c5,Ksar,نمرو فلكصر سعر 8ملايين حد شاري ول عندو اي طلب تلفنل اعل واتساب فقط [TÉLÉPHONE SUPPRIMÉ].,,الخدمات العامه,2026-01-27,https://voursa.com/FR/categories/real_estate/ads/نمرو-فلكصر-من-فوك-c5-5450,voursa
دار للبيـــــــــــــــــــــع أفي شهرزاد k8,Immobilier résidentiel,Vente,3500000.0,180.0,3.0,1.0,2.0,دار للبيـــــــــــــــــــــع أفي شهرزاد k8,Teyarett,"دار للبيـــــــــــــــــــــع ف شهــرزاد k8 
فـــاتــح ف شـــارع 8 فيه 3 ابيــوت وهــول أوروبي عنده برمة وكيتانص 
مكري ب 150 ألف 
المســـاحــة:180
السعـــــــــر:35 مليــون حد مهتم يتواصل معاي [TÉLÉPHONE SUPPRIMÉ]",,عبدالله,2026-01-27,https://voursa.com/FR/categories/real_estate/ads/دار-للبيـــــــــــــــــــــع-افي-شهرزاد-k8-581e,voursa
نيمرو فكرن من اتراب صنادره فكرن للبيع,Terrain,Vente,470000.0,180.0,,,,اتراب صنادرة,Teyarett,السلام عليكم هذ نيمرو فكرن من اتراب صنادره تيسير مساحة 180م# مبيوع فرصة ب 4ملاين واسبع مائة سعرو للاخير للإستفسار اكثر اتصلوا على الرقم التالى [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-01-27,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فكرن-من-اتراب-صنادره-فكرن-للبيع--b012,voursa
دار للإيجار أجديده مافات أندخلت بالقرب من شقق الصحاري ألا ب 150 ألف أفانص 3 أشهر,Immobilier résidentiel,Location,15000.0,216.0,3.0,1.0,1.0,شقق الصحاري,Teyarett,"دار للإيجار أجديده مافات أندخلت بالقرب من شقق الصحاري ألا ب 150 ألف أفانص 3 أشهر
فيه صالون وبيت أركاد وبيت أجماعه وهول وفراند وكراج وكوزين ودوش 
للإتصال أو الواتساب
[TÉLÉPHONE SUPPRIMÉ]",Garage,محمد فاضل,2026-01-27,https://voursa.com/FR/categories/real_estate/ads/دار-للايجار-اجديده-مافات-اندخلت-بالقرب-من-شقق-الصحاري-الا-ب-150-الف-افانص-3-اشهر-ed84,voursa
أبرتماه التحت للإيجار في المشروع أجديد مافات أندخل ألا ب 80 ألف أفانص أشهر واحد,Immobilier résidentiel,Location,8000.0,108.0,1.0,1.0,1.0,مسجد بداه,Teyarett,"أبرتماه التحت للإيجار في المشروع أجديد مافات أندخل ألا ب 80 ألف أفانص أشهر واحد
فيه بيت أكبير وهول وفراند وكوزين ودوش 
للإتصال أو الواتساب
[TÉLÉPHONE SUPPRIMÉ]",,محمد فاضل,2026-01-27,https://voursa.com/FR/categories/real_estate/ads/ابرتماه-التحت-للايجار-في-المشروع-اجديد-مافات-اندخل-الا-ب-80-الف-افانص-اشهر-واحد-bb76,voursa
ابرتمهات ومكزينه ف iloca,Immobilier résidentiel,Vente,6500000.0,300.0,6.0,1.0,2.0,Iloca,Tevragh Zeina,"سعر 65 مليون دخلهم شهري 440الف 
حد شاري ول عندو طلب تلفنل اعل واتساب فقط [TÉLÉPHONE SUPPRIMÉ]",,الخدمات العامه,2026-01-27,https://voursa.com/FR/categories/real_estate/ads/ابرتمهات-ومكزينه-ف-iloca-949e,voursa
Terrain,Terrain,Vente,3000000.0,190.0,,,,Mosqué,Ksar,Face Mosqué SOCOGIM ps,,Yahya Abdellahi Salem,2025-12-10,https://voursa.com/FR/categories/real_estate/ads/terrain-819d,voursa
مجمع سكني من منزلين و ديبلكس,Immobilier résidentiel,Vente,270000.0,224.0,5.0,3.0,7.0,الداية 17,Arafat,مجمع سكني من منزلين وديبلكس، دخله الشهري يصل إلى اكثر من 250 الف قديمة، يفصله عن الطريق الرئيسي قطعة ارضية ماهي مبنية فاتح اعل باركين اسقيريين، فرصة استثمارية، السعر قابل للتفاوض,,Abdellatif,2025-12-14,https://voursa.com/FR/categories/real_estate/ads/مجمع-سكني-من-منزلين-و-ديبلكس--77a1,voursa
Studio,Immobilier résidentiel,Location,8000.0,12.0,2.0,1.0,2.0,Hôtel emira,Riyadh,"🏡 STUDIO À LOUER – TEVRAGH ZEINA 🇲🇷
💰 80 000 MRU
📌 Composé de :
• Chambre avec salle de bain
• Cuisine
• Salon
• Toilettes extérieures
• Balcon
📍 Tevragh Zeina a côté de hôtel emira – Nouakchott
📞 [TÉLÉPHONE SUPPRIMÉ]
🏡 استوديو للإيجار – تفرغ زينه 🇲🇷
💰 80.000 أوقية جديدة
📌 يتكون من :
• غرفة مع حمام
• مطبخ
• صالون
• مرحاض خارجي
• شرفة
📍 تفرغ زينه – نواكشوط
📞 [TÉLÉPHONE SUPPRIMÉ]",Caméra de sécurité,Marisa sall,2026-01-01,https://voursa.com/FR/categories/real_estate/ads/studio--4f21,voursa
شانتيه لاحكه المقطة ف ترحيل حياة جديدة فتوجنين عنده بادج على شارع 12m,Immobilier résidentiel,Vente,3.0,120.0,2.0,5.0,2.0,حياة جديدة عنده بادج,Toujounine,شانتيه لاحكه المقطة ف ترحيل حياة جديدة فتوجنين عنده بادج على شارع 12m,Caméra de sécurité,محمد سالم,2026-01-27,https://voursa.com/FR/categories/real_estate/ads/شانتيه-لاحكه-المقطة-ف-ترحيل-حياة-جديدة-فتوجنين-عنده-بادج-على-شارع-12m-3cc6,voursa
دار فملح سكتير 1,Immobilier résidentiel,Vente,900000.0,120.0,2.0,1.0,2.0,مدارس الفضيلة,Toujounine,دار فملح سكتير 1 احذ مدراس الفضيلة,Garage,محمد عبد الله ولد سيكه,2026-01-26,https://voursa.com/FR/categories/real_estate/ads/دار-فملح-سكتير-1-b57f,voursa
فرصه حقيقيه,Terrain,Vente,2000000.0,250.0,,,,طريق نواذيبو,Tevragh Zeina,فرصه للبيع نص نيمرو مساحتو 250م عل طريق نواذيبو فرصه h seut فاتح فبرك مبيوع ب 20مليون,,وكالة النجاح,2026-01-26,https://voursa.com/FR/categories/real_estate/ads/فرصه-حقيقيه-79de,voursa
المطار القديم,Immobilier commercial et industriel,Vente,10500000.0,1600.0,,,,كرفور لبيست,Dar Naim,عندى ذيك 1600m² كان مبيوعين الا ب120 مليون واليوم مبيوعين ب105 مليون,,المصطفى حامد لكبيد,2026-01-24,https://voursa.com/FR/categories/real_estate/ads/المطار-القديم--b436,voursa
شانتية احذ كدروه النايب,Immobilier résidentiel,Vente,700000.0,120.0,3.0,1.0,2.0,بقالة سعد الجاه,Toujounine,شانتية خاصه الا المقط احذ كدروه النايب يندخله من عند بقالة سعد الجاه,Garage,محمد عبد الله ولد سيكه,2026-01-26,https://voursa.com/FR/categories/real_estate/ads/شانتية-احذ-كدروه-النايب--4e45,voursa
نيمروين للبيع,Terrain,Vente,4200000.0,534.0,,,,بوش 9,Tevragh Zeina,"🔥 فرصة استثمارية قوية – نيمروين ف بوش 9 🔥
📍 الموقع: بوش 9 – فكرن
🏠 العدد: نيمروين
📐 مساحة كل واحد: 534م²
🛣️ نفاذية ممتازة
📄 الأوراق جاهزة
📞 التواصل للجادين فقط

‎48 04 83 95",,سارة,2026-01-26,https://voursa.com/FR/categories/real_estate/ads/نيمروين-للبيع--7c82,voursa
سمعه فتوجنين,Immobilier résidentiel,Vente,1100000.0,240.0,5.0,2.0,3.0,توجنين,Toujounine,سمعه فتوجنين مكرية من تحت ب 50الف و من فوك ب 30الف فاتحه اعل شارع 8م,Garage,محمد عبد الله ولد سيكه,2026-01-26,https://voursa.com/FR/categories/real_estate/ads/سمعه-فتوجنين--5466,voursa
نيمرو أفكرن فالمطار ابلوك 43 قرب لابست,Terrain,Vente,2700000.0,460.0,,,,جيماويل,Dar Naim,المساحة 460م2 تيتر فونصي مبيوع ب 27 مليون,,سيدي محمد,2026-01-26,https://voursa.com/FR/categories/real_estate/ads/نيمرو-افكرن-فالمطار-ابلوك-43-قرب-لابست--488f,voursa
نيمرو فكرن من الأساتذة للبيع,Terrain,Vente,6500000.0,600.0,,,,الاساتذة,Tevragh Zeina,السلام عليكم هذ نيمرو فكرن مساحة 600م# من الاساتذة مبيوع ب 63مليون للإستفسار اكثر اتصلوا على الرقم التالي [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-01-26,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فكرن-من-الاساتذة-للبيع--b300,voursa
200م# من h لاول للبيع,Terrain,Vente,2000000.0,200.0,,,,H لاول,Tevragh Zeina,السلام عليكم هذ 200م# من h لاول مبيوع ب 20مليون للإستفسار اكثر اتصلوا على الرقم التالي [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-01-26,https://voursa.com/FR/categories/real_estate/ads/200م-من-h-لاول-للبيع--f559,voursa
نيمرو من الأساتذة إعلى شارع 30م وفكرن,Terrain,Vente,6300000.0,600.0,,,,معهد المهندسين,Tevragh Zeina,441 من الأساتذة إعلى شارع 30م وفكرن ب 63 مليون,,سيدي محمد,2026-01-26,https://voursa.com/FR/categories/real_estate/ads/نيمرو-من-الاساتذة-اعلى-شارع-30م-وفكرن--f731,voursa
نص نظيف وسط البنيان ف سكنير 5,Terrain,Vente,4300000.0,300.0,,,,5سكتيير,Tevragh Zeina,وسط البنيان,,Med,2026-01-26,https://voursa.com/FR/categories/real_estate/ads/نص-نظيف-وسط-البنيان-ف-سكنير-5--a72b,voursa
نيمروين على شارع 25m  كلهم مساحتو 150m2 كلهم فالكرن,Terrain,Vente,1.0,300.0,,,,كدروه عزيز,Dar Naim,نيمروين على شارع 25m  كلهم مساحتو 150m2 كلهم فالكرن هوم متلاصكيين,,محمد سالم,2026-01-26,https://voursa.com/FR/categories/real_estate/ads/نيمروين-على-شارع-25m-كلهم-مساحتو-150m2-كلهم-فالكرن--f08f,voursa
150م² في سكتير1 ماه بعيد من طب القلب,Terrain,Vente,1250000.0,150.0,,,,طب القلب,Tevragh Zeina,"شارعو كبير وزين تبارك الله 
ملاحظة للراغبين في بيع أو إيجار أو شراء دار او نيمرو ماعليكم سوى التواصل معنا والله المستعان",,محمدفال,2026-01-26,https://voursa.com/FR/categories/real_estate/ads/150م-في-سكتير1-ماه-بعيد-من-طب-القلب-d685,voursa
رقم 131 من بلوك 65 المطار القديم,Terrain,Vente,650000.0,180.0,,,,نيمرو,Dar Naim,"السلام عليكم 
عندن رقم 131 من بلوك 65 المطار القديم فاتح اعل بارك 
المساحه 180م٢ 
الثمن 6 مليون 500
الواتساب [TÉLÉPHONE SUPPRIMÉ]",,عبد الله,2026-01-26,https://voursa.com/FR/categories/real_estate/ads/رقم-131-من-بلوك-65-المطار-القديم--5f07,voursa
230 عند كرن الجامعة,Terrain,Vente,3000000.0,230.0,,,,دوار جامعة نواكشوط العصرية,Tevragh Zeina,230 متر مربع عند كرن الجامعة فاتح في تي واعل ساحة عمومية,,عبد الله,2026-01-24,https://voursa.com/FR/categories/real_estate/ads/230-عند-كرن-الجامعة-118d,voursa
نيمرو فاتح الوره والكدام من بوش  9 اكريب من كدروه للبيع,Terrain,Vente,4600000.0,533.0,,,,يوش,Tevragh Zeina,السلام عليكم هذ نيمرو فاتح الوره والكدام من بوش 9 مساحة 533م# اكريب من كدروه مبيوع ب 46مليون للإستفسار اكثر اتصلوا على الرقم التالى [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-01-24,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فاتح-الوره-والكدام-من-بوش-9-اكريب-من-كدروه-للبيع--8afd,voursa
نيمرو اعلي شارع 40 من سكجيم للبيع,Terrain,Vente,2800000.0,440.0,,,,سكجيم,Tevragh Zeina,السلام عليكم هذ نيمرو من سكجيم مساحة 440م# فاتح اعلي شارع 40 مبيوع ب 28مليون للإستفسار اكثر اتصلوا على الرقم التالي [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-01-24,https://voursa.com/FR/categories/real_estate/ads/نيمرو-اعلي-شارع-40-من-سكجيم-للبيع--2eb6,voursa
